fact 사실
rule 규칙
die 죽다
busy 바쁜
sick 아픈
health 건강
holiday 공휴일
goal 목표
order 순서
result 결과
half 절반의
decide 결정하다
choose 선택하다
difficult 어려운
foreign 외국의
brain 뇌
voice 목소리
opinion 의견
age 나이
price 가격
dish 접시
subway 지하철
bear 곰
human 인간
buy 사다
sell 팔다
follow 따르다
miss 놓치다
close 닫다
delicious 맛있는
sad 슬픈
however 그러나
diary 일기
cartoon 만화
event 사건
toy 장난감
weight 무게
smart 영리한
president 대통령
arm 팔다
meal 식사
skill 기술
contest 경쟁
prize 상품
chance 기회
shape 모양
wall 벽
smell 냄새
judge 판단하다
cover 덮개
catch 잡다
wash 씻다
dark 더움
dirty 더러운
tired 피곤한
upset 속상한
environment 환경
pollution 오염
lake 호수
desert 사막
insect 곤충
accident 사고
collage 대학
advice 조언
hobby 취미
mark 표시
post 우편
receive 바다
add 더하다
physical 신체의
modern 현대의
pretty 예쁜
clerk 사무원
foot 발
company 회사
factory 공장
garage 차고
palace 궁전
hole 구멍
bill 청구서
seed 씨
medicine 약
meaning 의미
race 경주
collect 모으다
heavy 무거운
useful 유용한
maybe 아마
sense 느낌
image 이미지
map 지도
type 유형
project 계획
traffic 교통
safety 안전
spaceship 우주선
rainbow 무지개
seat 좌석
magic 마술
secret 비밀
luck 행운
success 성공
coin 동전
goods 상품
address 주소
circle 원
mix 섞다
library 도서관
museum 박물관
ocean 바다
sentence 문장
proverb 속담
invention 발명
trash 쓰레기
moment 순간
product 제품
ring 반지
date 날짜
peace 평화
storm 폭풍우
disease 병
ghost 유령
bone 뼈
wisdom 지혜
candle 초
zoo 동물원
scene 장면
memory 기억
recipy 조리법
wheel 바퀴
kid 아이
smoke 연기
cute 귀여운
already 이미
hometown 고향
yard 마당
bridge 다리
fairy 요정
flag 깃발
pain 고통
guide 안내자
promise 약속
bake 굽다
background 배경
distance 거리
behavier 행동
danger 위험
object 물건
tear 눈물
honor 명예
expensive 비싼
ability 능력
action 행동
pride 자랑
slave 노예
rope 밧줄
tip 조언
sunrise 일출
garbage 쓰레기
cash 현금
police 경찰
dictionary 사전
adult 어른
brick 벽돌
temple 사원
wing 날개
purpose 목적
god 신
guest 손님
diver 잠수부
cell 세포
crowd 군중
dig 파다
wood 나무
cave 동굴
tomb 무덤
tool 도구
satelite 위성
wealth 재산
attention 주의
fold 접다
lawyer 변호사
blood 피곤한
gun 총
spirit 정신
route 길
pole 막대기
rubber 고무
root 뿌리
structure 구조
vote 투표
patient 환자
quick 빠른
captain 선장
bucket 양동이
cage 새장
kite 연
miracle 기적
